Plaats,Volgnummer,Puntnaam,Puntnummer,Omschrijving,datum,richting vanuit,X,Y,Picture,Opmerkingen,Personen,Voertuigen,Nakijken
Gieten,2,Gieten 1,120101,H.K. Gieten ,1986,,247405.91,558497.9,Gieten%2002.jpg,,,,
Gieten,3,Gieten 1,120101,H.K. Gieten ,juli 1950,W,247405.91,558497.9,Gieten%2003.jpg,,,,
Gieterveen,1,,120314,H.K. Gieterveen,1978,,252128.4,560839.74,Gieterveen%2001.jpg,,,,
Gieterveen,2,,120314,H.K. Gieterveen,1978,,252128.4,560839.74,Gieterveen%2002.jpg,,,,
Giethoorn,1,Giethoorn 3,160...,Zuivelfabriek Zuideinde,1947,NW,202028.67,526318.11,Giethoorn%2001.jpg,gesloopt,,,
Giethoorn,2,Giethoorn 4,160...,Korenmolen J. Prinsen,1947,ZO,202508.79,527331.91,Giethoorn%2002.jpg,,,,
Giethoorn,3,Giethoorn 5,160303,Doopsgezinde Kerk Zuideinde,1943,NO,202434.98,526360.94,Giethoorn%2003.jpg,,,,
Giethoorn,4,Giethoorn 5,160303,Doopsgezinde Kerk Zuideinde,1943,NO,202434.98,526360.94,Giethoorn%2004.jpg,,,,
Giethoorn,5,Giethoorn 6,160306,H.K. Giethoorn,1943,ZW,201533.93,528259.79,Giethoorn%2005.jpg,,,,
Gijbeland,1,Gijbeland,389..,C.G.K. Gijbeland,8 augustus 1916,ZW,115888.66,432126.83,Gijbeland%2001.jpg,,,,
Gildenhaus,1,Gildehaus (Dld)2,299304,Alleenst. toren Gildehaus (D.),1949,NNW,272346.19,479651.96,Gildehaus%20%28Dld%29%2001.jpg,twee foto' s,,,
Gilze,1,Gilze-Rijen 2,500...,Watertoren,21-Sep-33,W,123983.24,395857.72,Gilze%2001.jpg,vernietigd in WOII,,,
Gilze,2,Gilze-Rijen 7,500208,R.K.K. Gilze,1974,,124051.7,394785.31,Gilze%2002.jpg,,,,
Ginneken,1,Ginneken 2,509312,H.K. Ginneken,1974,,113236.38,397718.11,Ginneken%2001.jpg,,,,
Ginneken,2,Ginneken 2,509312,H.K. Ginneken,1974,,113236.38,397718.11,Ginneken%2002.jpg,,,,
Ginneken,3,Breda 19,509...,R.K.K. Overakkerstraat,juni 1934,Z,114278.73,397821.6,Ginneken%2003.jpg,,,,
Glane,1,Losser 9,359304,Klooster,oktober 1946,,264216.53,472261.22,Glane%2001.jpg,is voormalig St. Olafsklooster ?,,,
Glanerbrug,1,Enschede 50,359...,St. Olafsklooster Glanerbrug,oktober 1946,,263765.83,470898.07,Glanerbrug%2001.jpg,,,,
Glanerbrug,2,Enschede 51,359...,G.K. Glanerbrug,oktober 1946,,263296.62,470590.47,Glanerbrug%2002.jpg,,,,
Glanerbrug,3,Enschede 49,359...,H.K. Glanerbrug,oktober 1946,,263500.22,470827.42,Glanerbrug%2003.jpg,,,,
Glanerbrug,4,Glanerbrug,359301,R.K.K. Glanerbrug,17-Sep-03,Z,263436.18,471015.06,Glanerbrug%2004.jpg,,,,
Godlinze,1,Bierum 12,70205,H.K. Godlinze,Apr-59,NO,249987.48,599406.98,Godlinze%2001.jpg,,,,
Godlinze,2,Bierum 12,70205,H.K. Godlinze,1942,N,249987.48,599406.98,Godlinze%2002.jpg,,,,
Goedereede,1,Goedereede 1,360101,Alleenstaande Toren Goedereede,1975,,57690.44,426473.75,Goedereede%2001.jpg,Twee foto' s,,,
Goedereede,2,Goedereede 3,360302,Kustlicht Oosterse bos,juni 1949,ZW,58242.61,428508.11,Goedereede%2002.jpg,,,,
Goedereede,3,Goedereede 3,360302,Kustlicht Oosterse bos,juni 1949,,58242.61,428508.11,Goedereede%2003.jpg,,,,
Goedereede,4,Goedereede 1,360101,Alleenstaande Toren Goedereede,juli 1949,,57690.44,426473.75,Goedereede%2004.jpg,,,,
Goedereede,5,Goedereede 1,360101,Alleenstaande Toren Goedereede,juli 1949,W,57690.44,426473.75,Goedereede%2005.jpg,,,,
Goedereede,6,Goedereede 1,360101,Alleenstaande Toren Goedereede,juli 1949,ZO,57690.44,426473.75,Goedereede%2006.jpg,,,,
Goedereede,7,Goedereede 1,360101,Alleenstaande Toren Goedereede,30 augustus 1896,ZZW,57690.44,426473.75,Goedereede%2007.jpg,,,,
Goedereede,8,Goedereede 2,379804,Mast,juli 1949,Z,60010.49,427979.22,Goedereede%2008.jpg,tijdelijk punt,,,
Goedereede,9,Goedereede 2,379804,Mast,juli 1949,,60010.49,427979.22,Goedereede%2009.jpg,tijdelijk punt,,,
Goes,1,Goes 11,480324,TV toren,Sep-57,W,50691.63,392392.07,Goes%2001.jpg,twee foto' s,,,
Goes,2,Goes 5,480...,G.K. Goes,juni 1953,OZO,50836.29,391467.24,Goes%2002.jpg,,,,
Goes,3,Goes 6,480...,Ziekenhuis Sint Johanna,juni 1953,N,51921.77,390669.54,Goes%2003.jpg,,,,
Goes,4,Goes 7,480...,Watertoren,Sep-52,Z,52118.36,390488.21,Goes%2004.jpg,,,,
Goes,5,Goes 6,480...,Ziekenhuis Sint Johanna,juni 1953,N,51921.77,390669.54,Goes%2005.jpg,,,,
Goes,6,Goes 4,480...,Watertoren,26 augustus 1919,Z,52118.36,390488.21,Goes%2006.jpg,,,,
Goes,7,Goes 8,480322,Raadhuis,juni 1953,N,51076.2,391610.42,Goes%2007.jpg,,,,
Goes,8,Goes 1,480...,H.K. Goes,Sep-52,ZW,51076.27,391530.33,Goes%2008.jpg,,,,
Goes,9,Goes 10,480...,R.K.K. Goes,Sep-52,OZO,51020.36,391504.39,Goes%2009.jpg,,,,
Goes,10,Goes 8,480322,Raadhuis,1971,,51076.2,391610.42,Goes%2010.jpg,,,,
Goes,11,Goes 4,480...,Watertoren,17 mei 1927,NW,52118.36,390488.21,Goes%2011.jpg,,,,
Goirle,1,Goirle 1,500303,R.K.K. Goirle,1972,,132865.97,392180.09,Goirle%2001.jpg,,,,
Goor,1,Goor 2,349...,R.K.K. Goor,6 oktober 1943,O,237075.05,472600.52,Goor%2001.jpg,,,,
Goor,2,Goor 4,349...,Twentsche Stoomblekerij,29-Sep-43,ZW,236753.1,472910.35,Goor%2002.jpg,,,,
Goor,3,Goor 3,349...,Watertoren,23-Sep-43,ZO,235752.44,472407.11,Goor%2003.jpg,,,,
Goor,4,,349320,Eternietfabriek,,,237289.22,471587.65,Goor%2004.jpg,,,,
Gorinchem,1,Gorinchem 1,380101,H.K. Gorinchem,17 mei 1944,NW,126423.99,426857.97,Gorinchem%2001.jpg,,,,
Gorinchem,2,Gorinchem 1,380101,H.K. Gorinchem,augustus 1950,NO,126423.99,426857.97,Gorinchem%2002.jpg,,,,
Gorinchem,3,Gorinchem 1,380101,H.K. Gorinchem,mei 1963,,126423.99,426857.97,Gorinchem%2003.jpg,,,,
Gorinchem,4,Gorinchem 1,380101,H.K. Gorinchem,30-Sep-09,N,126423.99,426857.97,Gorinchem%2004.jpg,,,,
Gorinchem,5,Gorinchem 1,380101,H.K. Gorinchem,30-Sep-09,Z,126423.99,426857.97,Gorinchem%2005.jpg,,,,
Gorinchem,6,Gorinchem 1,380101,H.K. Gorinchem,mei 1963,,126423.99,426857.97,Gorinchem%2006.jpg,,,,
